# Temperature, K	# Time, s	Channel 1: R8, Ohms	Channel 2: R7, Ohms	Channel 3: R2, Ohms	Channel 4: R3, Ohms	Channel 5: R5, Ohms	Channel 6: R6, Ohms	Channel 7: R11, Ohms	Channel 8: R12, Ohms	Channel 9: ROX, Ohms
9.657844184231166196e+00	1.629570635014015436e+09	5.486947058823528778e+02	5.435794558823529314e+02	5.427211617647059029e+03	5.933678676470587561e+03	2.585050147058823768e+03	1.447605882352941080e+03	1.743646470588235185e+06	1.674954558823529398e+06	1.389603088235293853e+03
1.080468380966201281e+01	1.629568114367592096e+09	5.469443478260870961e+02	5.414866521739130576e+02	5.368234782608696150e+03	5.816077391304347657e+03	2.560904782608695768e+03	1.436989565217391373e+03	1.745104782608695561e+06	1.676253043478260981e+06	1.369172608695652116e+03
1.222850856836092603e+01	1.629567257004321814e+09	5.442474999999999454e+02	5.384922500000000127e+02	5.353132499999999709e+03	5.756890000000000327e+03	2.537181249999999636e+03	1.430177500000000009e+03	1.745576250000000000e+06	1.677026250000000000e+06	1.345067500000000109e+03
1.346923490363592713e+01	1.629566952581398249e+09	5.422633333333333212e+02	5.363086666666666815e+02	5.348813333333332594e+03	5.732333333333333030e+03	2.521010000000000218e+03	1.425683333333333394e+03	1.746096666666666744e+06	1.677430000000000000e+06	1.329186666666666724e+03
1.476796413152564647e+01	1.629566786527209282e+09	5.399466666666667152e+02	5.344303333333333512e+02	5.345610000000000582e+03	5.717310000000000400e+03	2.507683333333333394e+03	1.417063333333333276e+03	1.745963333333333256e+06	1.677313333333333256e+06	1.316076666666666597e+03
1.638290089248031123e+01	1.629658840523834467e+09	5.337433333333333394e+02	5.312423333333332494e+02	5.643683333333333394e+03	5.676669999999999163e+03	2.484616666666666788e+03	1.410566666666666833e+03	1.749230000000000000e+06	1.680506666666666744e+06	1.289726666666666688e+03
1.740989522708011350e+01	1.629566565609275103e+09	5.353200000000000500e+02	5.311570000000000391e+02	5.342789999999999964e+03	5.695539999999999964e+03	2.485280000000000200e+03	1.407910000000000082e+03	1.745720000000000000e+06	1.677080000000000000e+06	1.292990000000000009e+03
1.872972753138509461e+01	1.629566482257752895e+09	5.325099999999999909e+02	5.295854999999999109e+02	5.341050000000000182e+03	5.686764999999999418e+03	2.476110000000000127e+03	1.405164999999999964e+03	1.745770000000000000e+06	1.677210000000000000e+06	1.283974999999999909e+03
2.011001185148373693e+01	1.629566399405113935e+09	5.307699999999999818e+02	5.283369999999999891e+02	5.339630000000000109e+03	5.677710000000000036e+03	2.468369999999999891e+03	1.402339999999999918e+03	1.746060000000000000e+06	1.677460000000000000e+06	1.273380000000000109e+03
2.132958898185655983e+01	1.629704812109728336e+09	5.280650000000000546e+02	5.268150000000000546e+02	5.520840000000000146e+03	5.628164999999999964e+03	2.455649999999999636e+03	1.403895000000000209e+03	1.750870000000000000e+06	1.682030000000000000e+06	1.253684999999999945e+03
2.256911024289680157e+01	1.629566261144396305e+09	5.292599999999999909e+02	5.261784999999999854e+02	5.337579999999999927e+03	5.663359999999999673e+03	2.455960000000000036e+03	1.398779999999999973e+03	1.746260000000000000e+06	1.677630000000000000e+06	1.254785000000000309e+03
2.404444221795363390e+01	1.629566177909184694e+09	5.292799999999999727e+02	5.247740000000000009e+02	5.337409999999999854e+03	5.654140000000000327e+03	2.449190000000000055e+03	1.397049999999999955e+03	1.746450000000000000e+06	1.677800000000000000e+06	1.244960000000000036e+03
2.521488059474873467e+01	1.629704728623136997e+09	5.301400000000001000e+02	5.244970000000000709e+02	5.471500000000000000e+03	5.604194999999999709e+03	2.443409999999999854e+03	1.400410000000000082e+03	1.750830000000000000e+06	1.681955000000000000e+06	1.234250000000000000e+03
