# R, Ohms	T, K
6.749941361219489409e+02	8.000000000000000444e-01
7.000031591308968473e+02	6.999999999999999556e-01
7.499978182030019980e+02	5.999999999999999778e-01
7.589968963411469076e+02	4.623000000000000442e-01
7.896052004590150091e+02	4.249999999999999889e-01
8.309980410444319432e+02	3.928999999999999715e-01
9.005959715677755639e+02	2.468999999999999806e-01
9.699961265109992610e+02	2.443499999999999839e-01
9.800088553709307462e+02	2.399999999999999911e-01
1.009996805121104671e+03	2.303999999999999937e-01
1.046188640128343195e+03	2.208000000000000240e-01
1.069990692707914832e+03	2.133999999999999786e-01
1.099993198935193050e+03	2.064000000000000001e-01
1.123000630260045227e+03	1.999000000000000221e-01
1.190008326045318427e+03	1.895000000000000018e-01
1.299989965375453949e+03	1.605000000000000038e-01
1.400006332239529684e+03	1.457900000000000029e-01
1.494582868866338458e+03	1.376999999999999891e-01
1.549993939230371325e+03	1.328400000000000136e-01
1.865992956083231547e+03	1.069499999999999895e-01
2.348983682993271486e+03	8.860999999999999432e-02
2.968998649159619617e+03	6.872000000000000330e-02
3.841492591787589390e+03	5.884999999999999953e-02
4.157957060207836548e+03	4.893000000000000127e-02
5.246020700994077743e+03	3.862999999999999767e-02
7.089408473417324785e+03	2.827999999999999958e-02
1.499995651382040160e+04	1.000000000000000021e-02
