Coeffs	T vs I	Width vs I	f0 vs I
a6	1.875333503637720993e+26	8.197433803811874935e+29	-2.102399055351743674e+29
a5	-3.067772711229536495e+22	-2.092106221771282576e+26	3.592160846745048160e+25
a4	2.040815337400900608e+18	2.055967626627561554e+22	-2.696020796207788458e+21
a3	-7.018653182620918750e+13	-1.038292064489033984e+18	1.188899447795283200e+17
a2	1.302629839577802420e+09	2.949607694159189062e+13	-3.443442209555656738e+12
a1	-1.180639302652081642e+04	-4.746521007039848566e+08	6.732303424759845436e+07
a0	4.244111877777594771e-02	4.023130157395222795e+03	3.170647080653710145e+04






